Age group,Averted outcome (95% PI),Relative reduction in outcome (%) (95% PI) Unadjusted,Adjusted
"[12,18)","77,970 (65,910, 89,300)","25 (22, 27)","96 (84, 100)"
"[18,50)","799,420 (691,520, 908,190)","30 (27, 33)","70 (63, 76)"
"[50,65)","317,760 (267,470, 370,090)","35 (31, 39)","67 (60, 74)"
"[65,Inf)","190,290 (157,680, 224,980)","37 (33, 41)","61 (54, 67)"
Total,"1,385,440 (1,182,580, 1,592,560)","32 (28, 35)","68 (60, 74)"
"[18,50)","21,940 (19,210, 24,670)","36 (33, 39)","84 (77, 90)"
"[50,65)","26,370 (22,500, 30,380)","40 (37, 44)","77 (70, 84)"
"[65,Inf)","35,250 (29,550, 41,270)","36 (32, 40)","60 (53, 66)"
Total,"83,560 (71,270, 96,320)","37 (34, 41)","76 (68, 83)"
"[18,50)","2,380 (2,110, 2,670)","40 (37, 43)","92 (85, 98)"
"[50,65)","6,420 (5,520, 7,370)","40 (36, 43)","77 (70, 83)"
"[65,Inf)","13,650 (11,540, 15,870)","30 (27, 34)","50 (45, 56)"
Total,"22,460 (19,180, 25,900)","33 (30, 37)","68 (61, 74)"
