"Outcome","Age group (years)","Averted COVID-19 outcome (95% UI)","Relative reduction in outcome (%) (95% UI) Unadjusted","Adjusted"
"COVID-19 hospitalization Primary model","18+","138,700 (111,140, 175,200)","50 (44, 56)","100 ( 90, 100)"
"","18-49","52,470 (39,480, 69,610)","57 (50, 64)","100 (100, 100)"
"","50-64","48,350 (40,060, 59,000)","55 (50, 60)","100 ( 97, 100)"
"","65+","37,880 (31,600, 46,590)","38 (34, 43)"," 63 ( 56,  71)"
"Alternative model","18+","143,820 (128,110, 160,370)","51 (48, 53)","100 ( 97, 100)"
"","18-49","45,040 (41,470, 48,590)","54 (52, 56)","100 (100, 100)"
"","50-64","49,800 (44,710, 55,100)","56 (53, 58)","100 (100, 100)"
"","65+","48,970 (41,930, 56,690)","44 (40, 48)"," 73 ( 67,  79)"
"COVID-19 death Primary model","18+","16,140 (13,590, 19,510)","26 (23, 30)","54 (47, 61)"
"","18-49","1,630 (1,010, 2,590)","31 (21, 41)","71 (49, 95)"
"","50-64","3,890 (3,040, 5,140)","28 (24, 34)","54 (45, 66)"
"","65+","10,620 (9,550, 11,770)","25 (23, 27)","42 (38, 45)"
"Alternative model","18+","21,020 (17,760, 24,540)","32 (28, 35)","65 (58, 72)"
"","18-49","1,350 (1,150, 1,550)","27 (24, 30)","62 (55, 68)"
"","50-64","4,630 (3,880, 5,410)","32 (28, 36)","61 (54, 68)"
"","65+","15,040 (12,730, 17,570)","32 (29, 36)","53 (47, 59)"
